Chr	Start	Stop	Type
6	161804	162135	long_terminal_repeat
6	191685	191854	long_terminal_repeat
6	206922	207138	long_terminal_repeat
6	269731	270161	telomere
7	1	781	telomere
7	838	1079	long_terminal_repeat
7	110855	111225	long_terminal_repeat
7	111226	111505	long_terminal_repeat
7	111506	111698	long_terminal_repeat
7	114939	115269	long_terminal_repeat
7	204982	205337	long_terminal_repeat
7	318697	318860	long_terminal_repeat
7	319009	319341	long_terminal_repeat
7	319423	319762	long_terminal_repeat
7	320355	320707	long_terminal_repeat
7	327904	328224	long_terminal_repeat
7	401616	401894	long_terminal_repeat
7	401959	402290	long_terminal_repeat
7	405004	405145	long_terminal_repeat
7	405146	405207	long_terminal_repeat
7	405208	405453	long_terminal_repeat
7	412456	412725	long_terminal_repeat
7	535211	535542	long_terminal_repeat
7	535607	535759	long_terminal_repeat
7	535760	536097	long_terminal_repeat
7	535760	541685	retrotransposon
7	541348	541685	long_terminal_repeat
7	561843	562176	long_terminal_repeat
7	561843	567760	retrotransposon
7	567427	567760	long_terminal_repeat
7	568740	569072	long_terminal_repeat
7	568740	574700	retrotransposon
7	574369	574700	long_terminal_repeat
7	701104	701350	long_terminal_repeat
7	707195	707534	long_terminal_repeat
7	707195	712545	retrotransposon
7	712206	712545	long_terminal_repeat
7	713084	713384	long_terminal_repeat
7	735542	735872	long_terminal_repeat
7	735982	736322	long_terminal_repeat
7	774040	774162	long_terminal_repeat
7	778784	779112	long_terminal_repeat
7	779116	779224	long_terminal_repeat
7	779225	779515	long_terminal_repeat
7	793237	793559	long_terminal_repeat
7	811447	811778	long_terminal_repeat
7	811447	817397	retrotransposon
7	817074	817397	long_terminal_repeat
7	817393	817724	long_terminal_repeat
7	817393	823306	retrotransposon
7	822975	823306	long_terminal_repeat
7	845281	845602	long_terminal_repeat
7	875951	876279	long_terminal_repeat
7	931171	931540	long_terminal_repeat
7	931688	932019	long_terminal_repeat
7	1083635	1090940	telomere
8	1	5505	telomere
8	7994	8225	long_terminal_repeat
8	85388	85538	long_terminal_repeat
8	85539	85909	long_terminal_repeat
8	85539	91761	retrotransposon
8	91391	91761	long_terminal_repeat
8	91772	92099	long_terminal_repeat
8	92240	92390	long_terminal_repeat
8	116421	116752	long_terminal_repeat
8	116763	117061	long_terminal_repeat
8	133201	133442	long_terminal_repeat
8	133565	133684	long_terminal_repeat
8	133685	134009	long_terminal_repeat
8	146331	146671	long_terminal_repeat
8	146844	147114	long_terminal_repeat
8	358672	358850	long_terminal_repeat
8	358850	359067	long_terminal_repeat
8	359079	359372	long_terminal_repeat
8	389177	389509	long_terminal_repeat
8	389613	389845	long_terminal_repeat
8	463920	464147	long_terminal_repeat
8	466549	466863	long_terminal_repeat
8	466884	466975	long_terminal_repeat
8	530049	530379	long_terminal_repeat
8	543610	543941	long_terminal_repeat
8	543610	549637	retrotransposon
8	549306	549637	long_terminal_repeat
8	556105	562643	telomere
9	1	7784	telomere
9	196653	197023	long_terminal_repeat
9	197140	197488	long_terminal_repeat
9	205220	205559	long_terminal_repeat
9	205220	210647	retrotransposon
9	210308	210647	long_terminal_repeat
9	246220	246552	long_terminal_repeat
9	300409	300727	long_terminal_repeat
9	324391	324734	long_terminal_repeat
9	324831	325164	long_terminal_repeat
9	336708	336897	long_terminal_repeat
9	426201	426425	long_terminal_repeat
9	439068	439888	telomere
10	1	7767	telomere
10	59505	59784	long_terminal_repeat
10	197401	197494	long_terminal_repeat
10	197545	197915	long_terminal_repeat
10	197545	203768	retrotransposon
10	203398	203768	long_terminal_repeat
10	203783	204114	long_terminal_repeat
10	354538	355204	long_terminal_repeat
10	354844	355175	long_terminal_repeat
10	374844	374935	long_terminal_repeat
10	377598	377870	long_terminal_repeat
10	416266	416441	long_terminal_repeat
10	416506	416650	long_terminal_repeat
10	416899	417026	long_terminal_repeat
10	421946	422295	long_terminal_repeat
10	422601	422887	long_terminal_repeat
10	472463	472800	long_terminal_repeat
10	472463	478384	retrotransposon
10	478051	478384	long_terminal_repeat
10	478051	483972	retrotransposon
10	483635	483972	long_terminal_repeat
10	517959	518099	long_terminal_repeat
10	531516	531675	long_terminal_repeat
10	537741	538041	long_terminal_repeat
10	538103	538434	long_terminal_repeat
10	540766	541087	long_terminal_repeat
10	541095	541427	long_terminal_repeat
10	543448	543770	long_terminal_repeat
10	744902	745751	telomere
11	1	807	telomere
11	74236	74518	long_terminal_repeat
11	83808	84115	long_terminal_repeat
11	162831	163169	long_terminal_repeat
11	202644	202983	long_terminal_repeat
11	219395	219723	long_terminal_repeat
11	302334	302625	long_terminal_repeat
11	313602	313919	long_terminal_repeat
11	314193	314524	long_terminal_repeat
11	458140	458471	long_terminal_repeat
11	490286	490416	long_terminal_repeat
11	490464	490787	long_terminal_repeat
11	513532	513846	long_terminal_repeat
11	517453	517784	long_terminal_repeat
11	665430	665668	long_terminal_repeat
11	665904	666816	telomere
12	1	12085	telomere
12	92050	92381	long_terminal_repeat
12	168043	168380	long_terminal_repeat
12	215080	215417	long_terminal_repeat
12	220668	221005	long_terminal_repeat
12	221006	221266	long_terminal_repeat
12	365810	366144	long_terminal_repeat
12	373999	374338	long_terminal_repeat
12	448842	449028	long_terminal_repeat
12	450000	470000	rDNA
12	475976	476310	long_terminal_repeat
12	475976	481897	retrotransposon
12	481563	481897	long_terminal_repeat
12	592706	593035	long_terminal_repeat
12	593145	593478	long_terminal_repeat
12	593145	599062	retrotransposon
12	598729	599062	long_terminal_repeat
12	599268	599544	long_terminal_repeat
12	599570	599844	long_terminal_repeat
12	650824	651157	long_terminal_repeat
12	650824	656743	retrotransposon
12	656410	656743	long_terminal_repeat
12	657022	657365	long_terminal_repeat
12	657449	657767	long_terminal_repeat
12	688119	688368	long_terminal_repeat
12	688369	688664	long_terminal_repeat
12	731668	732000	long_terminal_repeat
12	734501	734671	long_terminal_repeat
12	793552	793870	long_terminal_repeat
12	796899	797088	long_terminal_repeat
12	818073	818403	long_terminal_repeat
12	941192	941523	long_terminal_repeat
12	941192	947150	retrotransposon
12	946819	947150	long_terminal_repeat
12	963230	963545	long_terminal_repeat
12	976258	976589	long_terminal_repeat
12	976258	981700	retrotransposon
12	981369	981700	long_terminal_repeat
12	1052303	1052632	long_terminal_repeat
12	1064281	1078177	telomere
13	1	6344	telomere
13	131989	132321	long_terminal_repeat
13	168349	168681	long_terminal_repeat
13	184170	184501	long_terminal_repeat
13	184170	190083	retrotransposon
13	189752	190083	long_terminal_repeat
13	196332	196668	long_terminal_repeat
13	196332	202234	retrotransposon
13	201919	202234	long_terminal_repeat
13	290049	290224	long_terminal_repeat
13	357005	357336	long_terminal_repeat
13	357005	362918	retrotransposon
13	362587	362918	long_terminal_repeat
13	372697	373034	long_terminal_repeat
13	372697	378622	retrotransposon
13	378285	378622	long_terminal_repeat
13	378727	379061	long_terminal_repeat
13	379072	379198	long_terminal_repeat
13	463128	463461	long_terminal_repeat
13	481214	481547	long_terminal_repeat
13	481571	481808	long_terminal_repeat
13	503192	503389	long_terminal_repeat
13	503771	504141	long_terminal_repeat
13	504346	504677	long_terminal_repeat
13	573112	573338	long_terminal_repeat
13	768548	768879	long_terminal_repeat
13	808537	808906	long_terminal_repeat
13	809000	809233	long_terminal_repeat
13	837450	837764	long_terminal_repeat
13	923541	924431	telomere
14	1	7428	telomere
14	96451	96609	long_terminal_repeat
14	96610	96941	long_terminal_repeat
14	96610	102523	retrotransposon
14	102192	102523	long_terminal_repeat
14	102632	102700	long_terminal_repeat
14	519163	519496	long_terminal_repeat
14	519163	525062	retrotransposon
14	524729	525062	long_terminal_repeat
14	546423	546714	long_terminal_repeat
14	546738	547077	long_terminal_repeat
14	561607	561977	long_terminal_repeat
14	562033	562364	long_terminal_repeat
14	562364	567660	retrotransposon
14	567660	567992	long_terminal_repeat
14	631998	632114	long_terminal_repeat
14	632119	632489	long_terminal_repeat
14	726234	726574	long_terminal_repeat
14	726614	726945	long_terminal_repeat
14	727363	727661	long_terminal_repeat
14	783278	784333	telomere
15	1	847	telomere
15	2894	3223	long_terminal_repeat
15	3809	3986	long_terminal_repeat
15	18302	18561	long_terminal_repeat
15	113294	113626	long_terminal_repeat
15	117703	118040	long_terminal_repeat
15	117703	123628	retrotransposon
15	123291	123628	long_terminal_repeat
15	226696	227037	long_terminal_repeat
15	227096	227293	long_terminal_repeat
15	227851	228178	long_terminal_repeat
15	300683	301021	long_terminal_repeat
15	340598	340898	long_terminal_repeat
15	354128	354466	long_terminal_repeat
15	354681	354958	long_terminal_repeat
15	438175	438483	long_terminal_repeat
15	594512	594819	long_terminal_repeat
15	594820	595151	long_terminal_repeat
15	594820	600733	retrotransposon
15	600402	600733	long_terminal_repeat
15	664003	664324	long_terminal_repeat
15	664325	664469	long_terminal_repeat
15	664813	665145	long_terminal_repeat
15	703429	703582	long_terminal_repeat
15	703612	703762	long_terminal_repeat
15	703772	704062	long_terminal_repeat
15	704063	704395	long_terminal_repeat
15	704063	710023	retrotransposon
15	709691	710023	long_terminal_repeat
15	710024	710107	long_terminal_repeat
15	854275	854614	long_terminal_repeat
15	968991	969301	long_terminal_repeat
15	969293	969431	long_terminal_repeat
15	970286	970617	long_terminal_repeat
15	970286	976244	retrotransposon
15	975913	976244	long_terminal_repeat
15	980259	980590	long_terminal_repeat
15	1083922	1091291	telomere
16	1	7223	telomere
16	55657	55858	long_terminal_repeat
16	56290	56358	long_terminal_repeat
16	56409	56451	long_terminal_repeat
16	56452	56788	long_terminal_repeat
16	56452	62375	retrotransposon
16	62039	62375	long_terminal_repeat
16	62389	62720	long_terminal_repeat
16	62724	63006	long_terminal_repeat
16	210451	210771	long_terminal_repeat
16	211577	211898	long_terminal_repeat
16	436068	436249	long_terminal_repeat
16	436250	436587	long_terminal_repeat
16	436594	436731	long_terminal_repeat
16	436890	437260	long_terminal_repeat
16	436890	443112	retrotransposon
16	442742	443112	long_terminal_repeat
16	560481	560812	long_terminal_repeat
16	571845	572173	long_terminal_repeat
16	769319	769659	long_terminal_repeat
16	776093	776413	long_terminal_repeat
16	776667	776796	long_terminal_repeat
16	777832	778154	long_terminal_repeat
16	804511	804638	long_terminal_repeat
16	804645	804978	long_terminal_repeat
16	804645	810562	retrotransposon
16	810229	810562	long_terminal_repeat
16	844412	844749	long_terminal_repeat
16	844412	850340	retrotransposon
16	850003	850340	long_terminal_repeat
16	850357	850512	long_terminal_repeat
16	850629	850966	long_terminal_repeat
16	850629	856554	retrotransposon
16	856217	856554	long_terminal_repeat
16	856545	856885	long_terminal_repeat
16	880386	880726	long_terminal_repeat
16	881487	881830	long_terminal_repeat
16	933071	933404	long_terminal_repeat
16	942396	948010	telomere
